EMG_Ch1,EMG_Ch2,EMG_Ch3,EMG_Ch4,EMG_Ch5,EMG_Ch6,EMG_Ch7,EMG_Ch8,Quat_1,Quat_2,Quat_3,Quat_4,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z
93,37,80,167,143,111,172,156,2848,10444,6164,-10642,-42,13,-23,-1974,-574,-195
85,39,80,173,144,114,167,159,2848,10444,6164,-10642,-42,13,-23,-1974,-574,-195
88,38,80,185,126,124,182,170,2847,10442,6172,-10640,-30,10,-23,-1982,-576,-196
110,43,87,243,116,111,182,156,2846,10440,6178,-10637,-30,10,-16,-1983,-580,-204
110,35,84,264,98,96,146,139,2847,10439,6185,-10635,-37,10,-14,-1989,-572,-194
109,34,67,263,112,97,126,155,2848,10436,6191,-10633,-37,15,-12,-1976,-572,-175
110,35,77,255,123,92,162,173,2848,10437,6197,-10630,-27,19,-14,-1981,-564,-205
108,38,73,232,125,72,160,171,2848,10437,6203,-10625,-33,16,-15,-1966,-555,-215
91,32,67,177,142,87,160,173,2848,10437,6203,-10625,-12,15,-16,-1973,-574,-202
91,37,65,200,136,104,174,209,2845,10436,6207,-10625,-4,11,-18,-1988,-579,-197
115,41,68,198,131,117,186,200,2844,10436,6207,-10625,-16,9,-13,-1977,-594,-201
156,58,70,217,168,145,277,202,2844,10436,6208,-10625,-5,10,-10,-1980,-595,-226
258,75,98,359,298,234,311,266,2844,10436,6208,-10625,9,15,-5,-1966,-550,-239
290,103,136,392,401,296,360,336,2844,10437,6208,-10624,8,7,-9,-1990,-535,-218
297,128,150,438,484,407,419,474,2844,10437,6207,-10625,-2,0,-10,-1987,-559,-184
312,139,160,508,775,613,535,521,2844,10437,6207,-10625,-8,-5,-6,-1995,-554,-197
323,160,173,626,912,801,508,516,2845,10433,6214,-10624,-34,-7,-9,-1968,-587,-206
254,159,181,652,934,837,497,497,2845,10432,6213,-10625,-14,5,-2,-1948,-570,-140
218,146,156,647,913,850,479,498,2861,10427,6214,-10626,-73,-4,5,-1953,-477,-94
218,134,152,608,902,841,437,354,2892,10418,6243,-10609,-259,-1,13,-1929,-560,-190
216,139,191,585,759,815,316,306,2891,10418,6252,-10604,-50,43,20,-1870,-622,-173
187,112,176,485,618,642,295,310,2928,10439,6250,-10574,-136,61,-7,-2009,-130,-287
198,109,164,350,618,577,291,299,2975,10433,6305,-10534,-431,-4,-24,-2145,-550,-390
207,105,164,322,606,532,263,206,2986,10424,6345,-10516,-227,-1,-33,-2077,-707,-333
238,202,182,320,572,489,241,197,2984,10419,6362,-10512,-61,-14,-70,-2044,-587,-297
277,526,289,261,459,272,194,162,2985,10409,6383,-10509,-88,-49,-53,-2021,-637,-311
292,581,523,212,421,272,185,169,2978,10389,6413,-10512,-113,-41,-35,-2060,-851,-253
312,642,539,236,358,329,153,150,2968,10382,6419,-10518,10,-32,4,-2058,-753,-262
317,662,567,450,552,469,243,197,2959,10379,6416,-10525,59,-37,-11,-2138,-663,-277
301,656,577,588,706,538,380,330,2937,10374,6395,-10549,176,7,-33,-2170,-638,-88
294,468,537,717,823,644,408,401,2880,10370,6348,-10597,427,117,-262,-2706,-474,141
399,422,340,921,864,651,482,526,2843,10385,6282,-10632,412,253,-338,-3029,-57,272
398,331,327,984,983,723,523,573,2835,10384,6226,-10667,259,169,-375,-2704,183,360
394,297,286,946,919,672,521,596,2797,10355,6228,-10705,156,61,-685,-2982,-54,136
463,279,326,1066,901,749,572,716,2629,10230,6390,-10771,3,-160,-1350,-3471,-1458,-278
473,242,375,1122,903,753,657,828,2283,9976,6808,-10832,-429,-51,-3158,-2983,-2700,-542
467,209,371,1016,893,763,675,895,1693,9661,7312,-10898,52,374,-4696,-2747,-3955,-874
468,211,388,1104,760,686,710,964,848,9250,7808,-11008,982,503,-5881,-2467,-3966,-365
558,241,459,1225,807,795,893,1101,-144,8708,8259,-11152,1623,321,-6522,-2148,-3492,149
535,234,507,1108,710,690,897,1043,-1174,8028,8694,-11271,1711,-3,-7082,-1403,-2712,529
524,225,513,1002,592,619,850,1001,-2137,7228,9161,-11300,1180,-440,-7364,-893,-1958,611
457,216,521,974,592,687,803,917,-3008,6377,9652,-11206,548,-672,-7306,-350,-1491,277
479,209,514,830,566,691,762,858,-3871,5478,10042,-11072,842,-702,-7192,276,-2228,280
708,165,462,698,434,567,547,673,-4726,4576,10270,-10940,1453,-530,-6933,107,-1929,305
897,134,356,622,403,536,396,605,-5533,3696,10365,-10804,1841,-406,-6567,-369,-1631,285
1073,131,259,640,374,533,354,581,-6293,2838,10354,-10658,2059,-293,-6222,-473,-1211,540
1163,138,217,597,268,401,328,532,-6997,2058,10247,-10500,2130,-2,-5621,38,-1131,734
1166,301,195,550,223,357,284,472,-7596,1336,10137,-10305,1825,-106,-5069,474,-794,485
1011,392,203,381,173,279,181,428,-8089,705,10047,-10078,1462,-144,-4513,783,-1656,-124
852,415,203,353,166,254,155,413,-8575,157,9911,-9832,1394,290,-4294,287,-1390,-827
609,635,229,239,139,183,115,255,-8993,-302,9717,-9647,1489,531,-3511,-104,-151,-938
415,687,311,238,145,155,124,216,-9227,-608,9541,-9587,1403,402,-2014,227,-478,-985
361,713,346,224,140,134,123,174,-9302,-771,9463,-9580,1253,481,-927,74,-359,-1365
368,879,523,276,178,169,180,218,-9316,-793,9452,-9576,503,484,-133,4,-15,-1244
312,963,601,283,182,175,184,215,-9235,-647,9503,-9614,-82,371,595,-146,-591,-890
306,1003,669,250,165,169,192,215,-9058,-430,9616,-9682,-323,119,1148,24,-1039,-858
306,1035,775,240,160,170,188,208,-8863,-195,9699,-9787,-514,-19,1695,65,-748,-932
367,1027,804,237,162,174,191,209,-8589,112,9843,-9888,-967,-285,2119,-162,-1348,-361
331,857,732,168,111,130,164,178,-8282,462,10001,-9981,-1143,-283,2307,-472,-1576,-652
395,750,734,200,148,177,449,420,-7881,886,10166,-10110,-1277,-392,2979,-1072,-826,-748
618,578,771,367,415,480,608,552,-7256,1413,10409,-10269,-1802,-1072,4023,-2117,-1279,-541
805,698,688,518,654,640,772,705,-6446,2064,10804,-10290,-3319,-1587,5028,-3208,-2419,-1032
923,701,757,631,761,709,908,988,-5459,2758,11157,-10322,-3358,-2009,5867,-3130,-3458,-545
1068,858,876,745,804,772,976,1024,-4332,3461,11306,-10481,-2300,-2256,6832,-2596,-4007,-49
1199,929,860,905,848,793,943,980,-3009,4269,11053,-10908,-277,-2349,8585,-2127,-3621,395
1141,904,796,864,775,685,862,934,-1591,5256,10429,-11381,954,-1714,10375,-1402,-1886,585
1152,788,779,799,631,639,732,852,-113,6557,9523,-11608,692,17,12190,-760,-522,2338
1060,757,701,754,523,618,602,565,1611,7992,8646,-11279,-1801,1111,13579,-1446,-988,2689
929,584,516,641,465,562,484,504,3442,9159,7589,-10728,-1935,9,13842,-4732,-2796,859
732,482,466,376,372,526,372,449,5254,10193,6067,-10006,-757,-443,15129,-6088,-6819,-1051
666,446,418,331,323,483,344,394,6494,11170,4456,-9035,940,1271,13772,-11714,807,-406
379,327,355,327,268,350,353,371,7038,12084,2603,-8130,4337,1346,12266,-7458,181,-1752
338,237,275,224,223,262,271,268,7225,12497,1687,-7563,2265,1121,6043,-2777,1195,-5210
278,186,228,229,204,205,261,237,6895,12840,1261,-7376,3409,1094,1775,-3844,1581,1400
244,140,188,215,221,209,247,259,6546,13044,1281,-7333,1945,900,-777,-3744,-931,2415
222,109,170,217,257,281,320,295,6688,12775,1608,-7609,-1541,-339,-1112,-1289,-829,1674
203,93,161,174,274,284,466,347,7270,12378,1951,-7652,-4357,-734,-84,73,-2075,130
179,236,162,181,277,269,487,359,7919,11946,2191,-7630,-4467,-872,446,-570,-3284,-115
168,313,152,170,278,271,490,363,8455,11632,2171,-7544,-3052,-928,1475,689,-3857,-780
143,381,170,158,256,252,488,351,8446,11666,2173,-7503,-71,120,1178,-240,-2358,-357
152,410,170,152,216,168,441,335,8302,11785,2137,-7487,849,255,636,-746,-1155,-323
146,429,174,92,116,124,230,220,8054,11924,2149,-7534,1385,462,-33,-1245,-642,60
118,401,185,52,80,101,186,191,7759,12101,2107,-7572,1856,452,-494,-1641,542,229
121,369,229,49,77,83,180,235,7552,12133,2189,-7707,995,124,-1227,-1816,1281,236
120,325,240,49,70,74,164,221,7467,12003,2456,-7910,-500,-363,-1902,-1926,778,306
100,299,244,46,71,58,138,193,7467,11748,2866,-8151,-1552,-606,-2435,-1877,383,26
93,278,243,44,67,48,133,189,7388,11474,3347,-8425,-1465,-572,-3018,-2003,75,-269
101,284,219,44,67,40,106,181,7200,11237,3815,-8704,-914,-400,-3199,-2006,-455,-310
94,287,166,39,44,34,83,93,6892,11041,4244,-9001,-199,-287,-3385,-2054,-681,-208
82,250,142,33,34,28,55,79,6499,10845,4667,-9316,159,-259,-3691,-2213,-609,-337
85,255,133,30,27,25,47,63,6095,10638,5046,-9626,323,-320,-3626,-2184,-359,-97
80,265,129,30,29,26,31,51,5681,10399,5455,-9913,154,-280,-3785,-2153,-465,-147
87,339,131,30,30,27,29,48,5240,10165,5822,-10185,373,-229,-3684,-2114,-684,-69
87,361,139,37,32,25,28,39,4771,9933,6138,-10456,649,-235,-3633,-2113,-623,55
91,371,122,151,58,47,53,49,4315,9704,6428,-10692,635,-186,-3464,-2167,-566,28
86,376,121,191,75,68,82,56,3878,9486,6676,-10901,673,-143,-3197,-1957,-590,151
96,374,126,211,93,90,109,87,3500,9274,6911,-11064,434,-128,-2855,-1515,-655,149
163,260,123,247,104,95,124,142,3187,9090,7126,-11174,214,-34,-2403,-1189,-714,87
168,198,108,260,115,104,131,154,2961,8963,7311,-11219,-35,129,-1746,-1146,-910,61
186,178,102,288,108,99,130,166,2803,8891,7465,-11215,-175,254,-1013,-1546,-1243,-78
