EMG_Ch1,EMG_Ch2,EMG_Ch3,EMG_Ch4,EMG_Ch5,EMG_Ch6,EMG_Ch7,EMG_Ch8,Quat_1,Quat_2,Quat_3,Quat_4,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z
93,28,31,133,34,37,40,46,1011,11735,3828,-10726,-9,3,-1,-2008,-462,-289
96,29,31,212,36,40,45,48,1011,11735,3828,-10726,-9,3,-1,-2008,-462,-289
89,32,36,240,39,39,44,52,1011,11735,3828,-10726,-4,-1,-2,-2018,-456,-279
108,32,41,249,43,41,51,56,1011,11735,3828,-10726,3,-7,1,-2013,-457,-259
107,33,43,252,43,40,49,56,1011,11735,3828,-10726,6,-6,-3,-2008,-465,-279
98,33,41,228,41,39,49,54,1011,11735,3828,-10726,4,-4,0,-2012,-460,-279
94,33,41,185,42,36,45,54,1011,11734,3828,-10726,-2,-1,1,-2010,-465,-280
91,33,33,155,40,35,45,52,1010,11734,3828,-10727,-9,-1,-3,-2005,-460,-277
68,33,29,147,36,32,35,52,1010,11734,3828,-10727,3,1,-2,-2025,-460,-279
64,32,30,162,41,33,31,50,1010,11734,3828,-10727,-6,-1,-3,-2011,-450,-275
78,30,30,203,48,35,33,47,1011,11734,3828,-10727,-2,-2,-5,-2009,-448,-277
75,28,27,172,42,33,36,48,1011,11734,3828,-10727,-2,-6,-5,-2013,-437,-283
75,24,29,178,45,35,36,42,1010,11734,3828,-10727,2,-7,-3,-2002,-474,-284
73,24,28,176,46,36,35,36,1010,11734,3828,-10727,8,-4,-3,-2017,-463,-262
75,23,26,173,44,36,38,37,1010,11734,3829,-10727,5,-3,2,-2009,-475,-284
54,22,22,126,36,34,34,33,1009,11733,3829,-10727,9,1,3,-1995,-484,-263
57,25,27,124,44,40,33,29,1009,11734,3829,-10727,6,1,2,-2022,-462,-298
72,26,27,112,41,44,36,33,1009,11733,3829,-10727,5,-1,5,-2017,-460,-270
74,25,29,152,43,45,36,33,1009,11733,3829,-10728,10,-2,3,-2014,-444,-273
74,24,29,138,43,45,37,34,1009,11733,3829,-10728,6,1,1,-2008,-473,-268
72,25,29,141,43,43,38,33,1009,11733,3829,-10728,9,3,0,-2012,-474,-279
69,21,27,156,37,38,34,35,1009,11733,3829,-10728,9,4,0,-2015,-459,-279
50,22,29,173,42,35,33,34,1009,11733,3829,-10728,13,2,1,-2021,-449,-280
53,23,27,150,40,39,41,38,1009,11733,3829,-10728,-2,-1,3,-2018,-460,-274
52,26,26,150,38,37,39,36,1009,11732,3830,-10728,-3,-2,3,-2005,-469,-268
60,26,25,150,38,39,38,37,1008,11732,3830,-10729,-2,-1,5,-2008,-474,-277
64,29,23,136,37,39,40,37,1008,11732,3830,-10728,9,-1,6,-2000,-476,-289
64,28,22,116,30,36,41,38,1008,11732,3830,-10728,14,3,8,-2014,-453,-284
67,31,26,138,31,38,35,39,1008,11732,3830,-10729,10,2,9,-2011,-468,-268
79,34,35,193,41,39,44,48,1008,11732,3830,-10729,5,3,11,-2022,-454,-273
80,34,36,200,43,36,45,49,1007,11732,3830,-10729,11,-1,9,-2009,-463,-266
84,33,36,200,45,37,45,54,1007,11733,3827,-10729,16,2,5,-2018,-436,-279
97,35,37,195,47,43,51,53,1008,11732,3826,-10730,11,-2,1,-2012,-441,-267
93,31,33,173,44,40,51,50,1008,11732,3826,-10730,13,1,-4,-2007,-455,-269
87,28,26,134,39,39,44,46,1008,11732,3826,-10730,13,1,-9,-2014,-443,-264
92,29,28,117,39,43,46,49,1008,11732,3826,-10730,-5,-2,-1,-2018,-465,-282
87,28,26,122,41,43,45,45,1007,11732,3827,-10730,-4,-7,1,-2007,-494,-280
73,27,24,121,40,39,38,45,1007,11731,3827,-10731,7,-5,0,-2033,-469,-263
69,29,29,139,40,35,37,43,1007,11731,3827,-10731,7,-9,1,-2007,-468,-268
74,28,31,156,44,37,40,44,1007,11731,3827,-10731,15,-4,2,-2017,-437,-271
73,26,33,190,44,35,39,44,1007,11731,3827,-10731,7,-3,2,-2005,-464,-269
84,26,36,211,44,36,40,45,1007,11730,3827,-10732,7,-1,-1,-2002,-457,-256
88,23,37,214,60,42,40,46,1007,11730,3827,-10732,1,-1,-1,-2016,-455,-259
92,24,37,211,63,44,42,46,1007,11730,3827,-10732,6,0,-2,-2002,-461,-265
91,28,36,196,59,42,39,45,1007,11730,3827,-10732,11,5,-7,-2015,-458,-276
89,29,34,181,62,42,39,44,1007,11730,3826,-10733,1,7,-8,-2015,-448,-271
87,31,33,154,59,40,36,40,1007,11730,3826,-10733,-12,3,-8,-2015,-459,-270
85,32,33,162,45,38,40,49,1006,11730,3827,-10733,6,-1,-3,-2008,-490,-290
82,32,32,213,52,36,40,50,1006,11729,3827,-10733,4,-7,-1,-2004,-459,-269
77,28,34,215,54,36,41,49,1006,11729,3827,-10733,-7,-6,2,-2013,-453,-274
76,26,32,211,49,34,43,50,1006,11729,3827,-10733,-3,-1,-2,-2009,-467,-269
68,25,34,216,49,35,43,53,1006,11729,3827,-10733,-6,1,-5,-2008,-451,-262
73,25,32,211,53,32,37,50,1006,11729,3827,-10733,-5,2,-6,-2008,-459,-280
75,28,32,143,42,30,34,50,1005,11729,3827,-10734,-3,6,-5,-2009,-476,-267
72,31,32,162,38,36,44,51,1005,11728,3827,-10734,1,3,-4,-2020,-460,-269
83,31,34,193,40,36,43,54,1005,11728,3828,-10734,-8,-2,1,-2011,-472,-276
85,31,33,200,42,34,42,51,1005,11728,3828,-10734,-6,1,4,-2009,-479,-279
80,32,34,197,39,34,42,44,1004,11728,3828,-10734,6,5,5,-2005,-470,-268
83,31,31,207,39,36,47,46,1004,11728,3828,-10734,5,4,2,-2004,-463,-268
88,30,27,178,39,36,38,47,1004,11728,3828,-10735,-1,6,0,-2009,-446,-271
86,31,27,159,44,37,38,56,1004,11728,3828,-10735,-3,5,-4,-2023,-457,-285
86,30,29,179,41,38,47,60,1004,11727,3828,-10735,0,4,-3,-2015,-471,-276
87,30,32,194,42,37,48,61,1004,11727,3828,-10735,4,-3,-2,-2016,-468,-264
84,29,37,185,49,38,52,60,1004,11727,3828,-10735,3,-2,-3,-2009,-461,-272
78,28,36,185,50,33,51,57,1004,11727,3828,-10735,1,-1,-3,-2008,-450,-270
63,31,37,161,46,32,52,46,1004,11727,3828,-10735,-3,1,-3,-2008,-465,-272
70,36,39,128,52,35,46,42,1003,11727,3829,-10736,11,0,-5,-2004,-479,-274
87,38,39,123,56,37,47,41,1004,11727,3828,-10736,-4,-1,-4,-2007,-439,-272
85,36,35,132,51,35,38,41,1003,11727,3829,-10735,-10,-1,-7,-2028,-471,-291
87,36,36,130,50,38,39,39,1003,11726,3829,-10736,-10,-5,-1,-2007,-476,-275
85,33,36,131,49,36,37,34,1003,11726,3829,-10736,-8,-6,-8,-2016,-440,-258
87,27,31,125,41,33,34,39,1003,11726,3829,-10736,7,1,1,-2011,-488,-271
65,24,28,119,30,32,38,39,1003,11726,3829,-10736,3,-1,0,-2006,-461,-262
74,25,36,164,31,34,42,42,1002,11725,3829,-10737,2,2,4,-2016,-479,-267
