EMG_Ch1,EMG_Ch2,EMG_Ch3,EMG_Ch4,EMG_Ch5,EMG_Ch6,EMG_Ch7,EMG_Ch8,Quat_1,Quat_2,Quat_3,Quat_4,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z
74,29,32,153,46,21,24,23,-8213,-6882,-10678,6295,-44,35,-58,-2064,-131,-385
48,28,36,150,47,22,22,21,-8213,-6882,-10678,6295,-44,35,-58,-2064,-131,-385
45,24,38,127,48,22,21,22,-8214,-6874,-10691,6280,-98,46,-61,-2072,-91,-443
59,23,38,112,47,24,21,22,-8212,-6861,-10707,6269,-107,41,-61,-2052,-171,-444
59,21,33,84,49,23,22,23,-8205,-6850,-10721,6266,-57,32,-69,-2032,-187,-464
64,22,34,88,51,23,24,24,-8198,-6839,-10735,6265,-48,35,-71,-2034,-206,-443
80,25,34,106,49,28,25,27,-8195,-6824,-10747,6264,-66,29,-77,-2056,-193,-416
78,25,32,99,40,29,25,27,-8189,-6810,-10760,6264,-62,31,-73,-2053,-228,-434
69,26,30,104,43,29,26,26,-8182,-6799,-10771,6266,-37,22,-62,-2032,-235,-444
71,25,34,108,42,30,24,25,-8173,-6791,-10782,6267,-24,26,-48,-2042,-237,-471
71,24,31,103,40,29,24,26,-8166,-6784,-10791,6269,-17,13,-49,-2026,-234,-476
94,23,28,85,76,27,28,23,-8158,-6780,-10797,6273,3,15,-36,-2051,-236,-463
99,25,33,99,94,29,28,28,-8153,-6778,-10800,6277,12,23,-26,-2067,-220,-437
119,37,35,98,118,35,47,37,-8147,-6775,-10805,6279,-5,21,-17,-2048,-245,-444
120,39,36,105,130,37,49,38,-8144,-6773,-10810,6278,-13,22,-17,-2067,-211,-458
117,40,40,124,136,38,48,36,-8138,-6769,-10819,6274,-36,24,-24,-2029,-229,-495
103,41,41,122,119,36,47,37,-8135,-6765,-10824,6272,-20,15,-18,-2035,-217,-457
99,40,38,126,105,34,47,34,-8134,-6765,-10825,6273,-9,3,-8,-2030,-248,-450
71,29,46,169,77,29,31,25,-8129,-6768,-10824,6278,32,8,12,-2030,-246,-455
68,25,53,171,56,28,28,24,-8126,-6773,-10821,6282,35,19,49,-2038,-278,-424
67,25,52,163,40,25,28,26,-8120,-6787,-10815,6284,67,17,48,-2066,-212,-477
40,23,55,185,37,26,25,24,-8117,-6796,-10815,6278,10,30,68,-2037,-249,-479
38,97,189,178,41,29,23,25,-8119,-6804,-10808,6279,31,-4,76,-2008,-248,-429
