EMG_Ch1,EMG_Ch2,EMG_Ch3,EMG_Ch4,EMG_Ch5,EMG_Ch6,EMG_Ch7,EMG_Ch8,Quat_1,Quat_2,Quat_3,Quat_4,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z
56,39,53,60,62,63,60,54,10262,5167,10442,-5231,-5,-7,1,-2045,-6,-244
53,41,54,62,63,63,58,57,10259,5169,10445,-5229,-2,-12,4,-2052,-17,-239
51,43,52,69,68,67,62,57,10248,5177,10454,-5225,15,-21,-6,-2051,0,-234
48,46,52,71,64,70,72,59,10245,5178,10457,-5223,1,5,5,-2047,-12,-231
52,49,53,65,63,69,71,55,10235,5183,10467,-5218,-1,-24,-3,-2053,-20,-238
46,50,57,71,67,62,66,54,10232,5185,10470,-5216,10,-5,3,-2050,-11,-237
42,49,56,72,67,60,67,48,10229,5187,10473,-5214,2,-12,-2,-2056,-8,-230
45,47,57,67,62,51,62,44,10226,5188,10476,-5213,0,-5,3,-2051,-5,-246
50,43,54,67,61,40,48,39,10216,5194,10486,-5208,4,-21,-1,-2045,-21,-237
46,44,56,70,64,42,47,39,10213,5196,10489,-5206,4,-1,5,-2040,-4,-254
45,43,52,68,61,49,48,39,10210,5198,10492,-5204,-2,-12,5,-2042,-5,-244
46,42,51,66,61,50,49,42,10207,5199,10494,-5202,-7,-15,3,-2055,-10,-227
45,42,53,67,62,56,51,43,10205,5201,10497,-5201,2,8,5,-2070,-5,-242
42,44,52,63,60,67,49,42,10196,5205,10506,-5194,-8,-20,0,-2055,-11,-233
43,42,49,63,59,67,48,46,10193,5207,10509,-5193,-3,-15,5,-2045,-21,-247
47,40,49,61,59,63,46,48,10190,5208,10512,-5191,4,-4,3,-2054,-18,-236
48,45,48,61,59,65,43,46,10188,5210,10514,-5189,4,-7,1,-2059,5,-242
50,49,45,61,60,70,40,47,10185,5212,10517,-5188,5,-10,-2,-2059,-13,-242
50,49,44,59,62,60,39,46,10182,5213,10520,-5186,6,-15,-2,-2047,-7,-236
52,48,42,54,57,57,39,44,10179,5215,10523,-5184,2,-11,3,-2046,-14,-254
54,48,36,53,55,58,41,40,10177,5216,10525,-5183,7,-15,-4,-2039,-21,-230
53,41,42,52,49,56,43,37,10174,5218,10528,-5182,6,-1,4,-2058,-12,-235
51,38,43,52,51,49,44,37,10171,5219,10530,-5180,2,-15,-2,-2060,-3,-234
51,38,48,52,51,49,44,35,10169,5221,10533,-5178,9,-8,-3,-2055,-1,-239
51,38,49,55,59,47,44,33,10160,5225,10541,-5173,-2,-20,-2,-2054,-19,-240
50,45,51,52,58,51,44,35,10157,5226,10544,-5172,7,-8,1,-2039,-7,-244
61,45,46,52,59,54,41,37,10155,5228,10546,-5170,9,-3,-1,-2060,-11,-231
61,44,45,48,56,57,44,39,10153,5229,10549,-5169,4,-16,0,-2053,-9,-236
63,45,39,49,55,63,40,41,10150,5231,10551,-5167,2,-10,1,-2054,-8,-231
65,45,41,53,48,64,43,45,10142,5235,10558,-5164,5,-17,-5,-2055,-8,-224
64,46,37,53,50,63,42,43,10140,5237,10561,-5162,4,-7,1,-2050,-11,-242
56,52,42,56,49,58,46,45,10137,5238,10563,-5161,2,-15,-2,-2042,-11,-231
55,52,46,59,51,55,43,45,10135,5239,10565,-5159,8,-4,1,-2054,-14,-247
55,53,46,59,49,47,44,47,10133,5241,10568,-5158,2,-16,0,-2054,-7,-227
48,53,45,55,54,48,39,46,10130,5242,10570,-5156,5,-12,1,-2054,-2,-241
49,48,47,54,54,46,41,47,10128,5244,10572,-5155,4,-13,-2,-2045,-7,-238
51,47,45,54,57,53,39,45,10125,5245,10575,-5153,8,-10,-1,-2047,-10,-244
51,46,42,52,55,48,42,43,10123,5246,10577,-5152,4,-10,2,-2050,-14,-243
49,44,48,55,56,51,43,44,10120,5248,10579,-5151,3,-16,-2,-2054,-15,-245
50,44,48,58,62,51,45,43,10118,5249,10582,-5149,5,-7,2,-2057,-7,-239
49,44,50,58,71,51,45,46,10111,5254,10588,-5145,3,-18,-2,-2049,-5,-235
43,43,49,57,70,48,43,46,10109,5255,10590,-5144,5,-8,1,-2051,-8,-235
43,42,50,58,69,49,40,45,10106,5256,10593,-5142,4,-13,-1,-2059,-13,-233
43,45,47,54,71,48,44,40,10104,5258,10595,-5141,4,-7,3,-2047,-5,-256
43,44,46,53,62,50,43,36,10102,5259,10597,-5139,2,-14,-1,-2058,-15,-239
41,46,42,55,52,49,40,32,10099,5260,10599,-5138,4,-11,0,-2047,-13,-244
41,49,43,52,53,46,41,31,10097,5261,10602,-5137,1,-8,2,-2053,-11,-240
43,56,47,50,57,53,41,33,10095,5263,10604,-5136,4,-12,-3,-2054,-16,-228
42,53,45,57,63,57,38,37,10093,5264,10606,-5134,1,-9,3,-2054,-13,-245
44,53,47,58,63,55,40,41,10090,5265,10608,-5133,1,-16,0,-2051,-6,-238
