EMG_Ch1,EMG_Ch2,EMG_Ch3,EMG_Ch4,EMG_Ch5,EMG_Ch6,EMG_Ch7,EMG_Ch8,Quat_1,Quat_2,Quat_3,Quat_4,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z
94,28,21,71,56,23,22,22,-8070,-6652,-11156,5883,-24,1,-8,-2048,-156,-543
100,30,23,79,58,24,23,25,-8070,-6652,-11156,5883,-24,1,-8,-2048,-156,-543
110,31,22,84,60,25,23,27,-8071,-6645,-11162,5879,-50,-3,-17,-2036,-213,-563
109,30,22,89,62,26,24,28,-8071,-6640,-11167,5876,-38,-7,-8,-2017,-212,-568
110,31,23,87,59,23,23,27,-8073,-6635,-11169,5874,-31,-15,-7,-2006,-206,-558
86,21,21,84,47,25,23,24,-8072,-6635,-11170,5875,-9,-16,1,-2034,-231,-570
78,20,24,80,44,24,25,22,-8074,-6631,-11169,5877,-11,-28,13,-2046,-250,-556
64,20,25,76,46,26,28,20,-8075,-6632,-11165,5882,21,-30,30,-2044,-243,-556
90,30,27,73,47,30,33,29,-8078,-6639,-11158,5885,36,-27,41,-2027,-194,-541
104,31,26,75,53,32,33,32,-8082,-6644,-11151,5887,24,-30,45,-2043,-209,-542
93,32,27,50,48,30,32,33,-8086,-6651,-11143,5890,35,-33,50,-2030,-197,-542
94,31,27,56,50,32,30,32,-8093,-6660,-11132,5890,34,-31,55,-2066,-158,-529
90,31,28,52,45,31,29,34,-8100,-6664,-11126,5886,-8,-27,47,-2029,-164,-532
70,23,25,68,59,27,28,26,-8108,-6669,-11119,5883,3,-22,41,-2056,-140,-517
51,24,27,66,54,25,28,23,-8115,-6673,-11114,5877,-11,-19,34,-2047,-137,-535
60,25,27,74,54,25,28,22,-8120,-6675,-11113,5872,-21,-25,25,-2041,-163,-565
78,28,23,73,58,25,31,25,-8126,-6675,-11110,5869,-20,-25,26,-2032,-174,-538
86,31,22,89,116,49,31,44,-8132,-6674,-11107,5867,-18,-30,26,-2037,-178,-533
85,32,26,78,114,51,27,58,-8138,-6674,-11103,5865,-14,-30,23,-2030,-166,-527
110,33,27,82,156,71,29,61,-8144,-6676,-11098,5864,2,-30,22,-2026,-148,-519
130,43,38,118,525,432,188,341,-8150,-6677,-11094,5863,-5,-26,13,-2031,-140,-520
176,55,47,174,687,514,198,365,-8155,-6676,-11091,5862,-13,-20,5,-2040,-147,-510
182,60,51,178,760,542,209,379,-8155,-6676,-11092,5862,-13,-12,9,-2040,-183,-530
184,61,52,184,771,549,214,384,-8160,-6673,-11089,5863,-18,-9,19,-2046,-210,-477
171,63,66,186,770,554,216,388,-8162,-6676,-11081,5872,44,-2,30,-2035,-203,-440
155,65,211,167,588,362,118,208,-8171,-6678,-11072,5874,7,26,34,-1996,-144,-343
86,91,285,106,388,234,103,162,-8180,-6679,-11076,5852,-95,25,7,-2049,-41,-533
63,112,303,86,193,154,79,124,-8192,-6676,-11091,5812,-196,62,19,-2018,-17,-551
52,127,319,74,137,130,64,99,-8206,-6656,-11107,5784,-228,19,-16,-1922,-125,-488
48,150,369,65,102,93,54,83,-8231,-6630,-11128,5739,-318,18,-52,-2058,1,-532
42,157,313,54,75,58,37,40,-8241,-6585,-11183,5667,-511,-34,-97,-2049,-102,-960
38,146,252,79,65,42,31,36,-8241,-6548,-11215,5647,-251,-110,-81,-2052,-286,-870
37,130,231,83,49,38,29,30,-8251,-6538,-11201,5674,76,-138,-54,-2103,-182,-518
65,243,380,136,60,46,41,46,-8274,-6530,-11185,5680,19,-166,-120,-2119,133,-553
69,320,436,281,62,44,47,50,-8286,-6505,-11179,5702,23,-173,-211,-2044,14,-550
72,362,486,349,62,45,49,52,-8266,-6469,-11179,5772,180,-176,-238,-2058,-436,-562
73,370,507,352,64,47,50,54,-8235,-6420,-11202,5825,65,-155,-322,-1949,-429,-722
78,376,515,356,68,49,52,56,-8250,-6351,-11197,5889,-62,-129,-139,-2038,-712,-82
60,334,444,340,59,41,45,43,-8277,-6292,-11189,5929,-156,-49,32,-2244,-806,2
52,255,344,238,49,38,39,34,-8288,-6246,-11229,5888,-420,-63,46,-2291,-576,-784
49,184,264,116,49,35,35,31,-8236,-6248,-11266,5888,-7,15,159,-1969,-851,-1032
47,163,214,93,46,34,34,27,-8198,-6330,-11225,5932,603,3,105,-2085,-52,-702
38,149,195,122,95,77,31,22,-8199,-6396,-11161,5979,557,-79,-56,-2096,367,-369
29,81,82,150,472,374,43,45,-7963,-6280,-11275,6203,622,220,-883,-1928,-2041,-994
43,60,71,203,714,564,87,73,-7581,-6128,-11385,6620,1711,477,-2445,-2463,-3078,-1174
41,48,70,223,756,593,91,78,-7015,-5929,-11484,7225,2788,690,-3720,-2682,-1809,-1146
47,48,74,265,782,609,96,86,-6319,-5600,-11639,7855,2717,977,-4802,-3119,-1794,-1149
48,46,74,276,780,607,96,87,-5586,-5206,-11755,8482,2767,896,-5188,-3400,-1565,-1078
47,41,68,266,633,490,89,77,-4834,-4738,-11810,9118,2859,658,-5506,-3002,-1340,-641
40,37,81,259,339,281,47,51,-4177,-4175,-11834,9671,2329,59,-5468,-2766,-904,-547
45,39,81,253,233,221,41,45,-3618,-3572,-11898,10051,1312,-186,-5094,-1908,-406,-537
40,32,78,211,128,173,25,26,-3190,-2960,-11986,10288,449,-534,-4525,-1673,-447,-278
40,32,72,175,106,166,26,22,-2836,-2391,-12077,10433,60,-596,-3996,-1638,-418,-449
49,144,185,174,87,151,30,27,-2561,-1884,-12127,10548,77,-719,-3403,-1559,-335,-423
52,208,253,120,80,75,33,28,-2363,-1453,-12131,10657,234,-794,-2778,-1603,-465,-402
57,220,424,115,77,61,37,31,-2265,-1097,-12103,10753,295,-949,-2078,-1643,-706,-335
71,282,546,149,79,58,44,36,-2323,-887,-12027,10845,596,-1066,-1462,-1767,-1052,-300
120,471,608,181,91,60,52,52,-2399,-748,-11972,10899,577,-907,-1097,-1854,-1271,-630
133,526,705,188,85,54,54,55,-2515,-679,-11914,10941,583,-814,-719,-1859,-794,-578
136,589,751,192,88,51,54,58,-2706,-666,-11856,10959,313,-859,-136,-1688,-511,-162
142,647,800,184,90,49,51,57,-2960,-707,-11854,10894,-324,-814,543,-1568,-1019,48
138,628,775,153,81,46,46,56,-3241,-813,-11901,10754,-627,-656,1050,-1441,-934,-205
101,507,734,106,64,41,35,44,-3546,-945,-11912,10634,-421,-721,1692,-1122,-777,-395
87,435,626,78,58,40,35,38,-3992,-1140,-11919,10447,-715,-1025,2537,-1211,-833,98
84,320,552,63,51,39,34,32,-4483,-1441,-12001,10112,-1453,-666,3315,-1009,-385,74
71,177,347,54,44,37,36,33,-4991,-1878,-12066,9717,-1419,-279,4064,-999,-623,-148
69,162,229,53,42,35,36,28,-5560,-2400,-12062,9289,-1224,-343,4752,-1179,-1004,-229
65,151,217,53,41,32,36,26,-6182,-3015,-11995,8790,-1166,-337,5420,-1766,-578,-339
52,130,200,47,35,27,29,24,-6822,-3713,-11839,8244,-954,-274,6027,-2132,-677,-248
41,102,165,41,32,25,25,23,-7447,-4496,-11610,7614,-869,-63,6671,-2631,-954,-461
33,73,142,37,24,24,17,21,-8052,-5350,-11266,6934,-564,24,7225,-3069,-716,-275
26,54,104,30,23,22,14,20,-8631,-6201,-10854,6140,-812,123,7633,-4118,-633,-552
23,35,79,24,23,20,17,19,-9190,-6978,-10354,5301,-968,-150,7679,-4661,-174,-793
21,26,55,22,20,21,18,20,-9717,-7645,-9808,4402,-1355,-223,7458,-5244,614,-657
20,26,52,22,19,20,22,19,-10211,-8158,-9251,3471,-1877,-302,7027,-5068,657,-566
19,25,43,21,23,20,23,17,-10641,-8550,-8657,2681,-1630,-766,6174,-4850,-201,-100
19,22,34,21,22,19,24,19,-11012,-8812,-8062,2129,-1282,-1474,5107,-3391,287,-828
18,23,26,28,22,20,22,18,-11155,-9144,-7550,1842,391,-1220,3679,-1400,860,-145
16,23,29,49,24,19,20,17,-11212,-9225,-7420,1610,-455,66,1744,-2718,422,-814
16,20,31,54,23,21,18,16,-11225,-9258,-7369,1562,-187,-184,1362,-2629,166,-479
15,19,28,58,18,22,19,16,-11218,-9440,-7168,1456,541,-324,1785,-1963,-1108,-115
18,19,31,61,17,23,20,14,-11182,-9667,-6942,1340,820,-266,1974,-1769,-967,165
20,27,112,62,18,22,21,14,-11113,-9895,-6739,1278,999,-325,1656,-1611,-859,-366
24,51,141,66,22,26,23,17,-11046,-10011,-6671,1314,641,-214,1139,-1507,-548,-283
26,102,171,74,22,24,23,18,-11072,-9978,-6681,1297,-435,-61,657,-1571,-115,-413
30,121,201,81,29,25,24,18,-11195,-9795,-6751,1268,-1368,-69,285,-1614,-336,-365
51,192,254,94,40,30,30,28,-11315,-9575,-6863,1285,-1399,-85,-64,-1478,-655,-340
57,391,480,106,44,31,32,31,-11374,-9367,-7031,1381,-1015,-21,-512,-1410,-859,-406
63,430,484,107,46,30,31,33,-11357,-9207,-7231,1559,-372,60,-1024,-1433,-413,-340
64,424,490,102,47,30,32,33,-11322,-9015,-7473,1777,-336,132,-1531,-1565,-14,-315
68,441,498,102,48,31,35,36,-11312,-8757,-7738,1985,-627,225,-2131,-1701,-106,-329
59,449,536,92,41,25,34,30,-11267,-8438,-8075,2260,-636,344,-2763,-2146,-166,-411
55,305,350,78,36,23,32,28,-11165,-8081,-8464,2620,-418,419,-3421,-2420,135,-440
48,258,365,63,33,22,31,25,-10965,-7701,-8918,3068,-27,706,-4048,-2730,-312,-338
50,254,346,66,32,23,31,26,-10633,-7342,-9394,3640,744,874,-4631,-2673,-707,-485
42,217,318,62,26,22,27,23,-10144,-7053,-9841,4354,1889,996,-5091,-3469,-542,-650
35,131,196,62,43,51,27,24,-9562,-6744,-10245,5155,2418,937,-5637,-3509,109,-669
31,101,161,59,47,55,28,24,-8964,-6258,-10664,5934,1778,802,-6233,-3823,-573,-634
33,53,65,63,51,56,29,23,-8328,-5661,-11054,6698,1525,672,-6649,-3868,-830,-556
28,42,51,60,52,57,30,23,-7672,-4978,-11377,7442,1385,454,-6863,-3663,-1191,-121
